feature,bucket,n_tracks,rmse,mae,mean_error,std_error
danceability,low (<0.4),3850,14.5293,10.8621,0.6166,14.5181
danceability,medium (0.4–0.7),13508,15.2415,11.0817,-0.4498,15.2355
danceability,high (>0.7),5442,17.5841,12.7336,-0.508,17.5784
energy,low (<0.33),3182,15.5973,11.9449,-0.2391,15.5979
energy,medium (0.33–0.66),7469,15.9409,11.4879,-0.5935,15.9309
energy,high (>0.66),12149,15.6125,11.2763,-0.1048,15.6128
tempo,low (<90 BPM),3209,15.3558,11.1911,-0.495,15.3502
tempo,medium (90–140 BPM),13677,16.1754,11.7627,-0.3264,16.1727
tempo,high (>140 BPM),5914,14.8159,10.8245,-0.0699,14.817
